epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
45,79143.7,1.81857,1.27156,0.00832,0.76496,0.55935,0.63698,0.38635,1.49415,1.04153,0.00883,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555,0.013665,0.004555
46,80834.5,1.8154,1.26969,0.00826,0.76455,0.56211,0.63856,0.38741,1.49142,1.03892,0.00881,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125,0.0132938,0.00443125
47,82454.3,1.81263,1.26242,0.00824,0.7666,0.56398,0.64006,0.38866,1.48989,1.03517,0.00879,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075,0.0129225,0.0043075
48,84111.6,1.80701,1.25947,0.00823,0.76771,0.56577,0.64138,0.38974,1.48729,1.03298,0.00878,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375,0.0125512,0.00418375
49,85759.1,1.80563,1.25429,0.00819,0.77056,0.56682,0.64306,0.39124,1.48594,1.02854,0.00876,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
50,87383.9,1.804,1.25037,0.00816,0.7678,0.56923,0.64431,0.39226,1.48379,1.02561,0.00875,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625,0.0118087,0.00393625
51,1490.76,1.79165,1.23268,0.00808,0.7706,0.57055,0.64655,0.3941,1.48094,1.02037,0.00872,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125,0.0114375,0.0038125
52,2982.21,1.7946,1.23966,0.00811,0.7719,0.57198,0.64832,0.39529,1.47966,1.01708,0.0087,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875,0.0110663,0.00368875
53,4472.23,1.7932,1.2359,0.00811,0.77393,0.57399,0.64991,0.39657,1.47825,1.0131,0.00869,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
54,5957.46,1.78575,1.22932,0.00808,0.77648,0.57392,0.65087,0.3977,1.47653,1.01124,0.00868,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125,0.0103237,0.00344125
55,7443.83,1.78317,1.22387,0.00805,0.78148,0.57306,0.65208,0.39915,1.47446,1.00811,0.00867,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175,0.0099525,0.0033175
56,8931.77,1.77917,1.21933,0.00802,0.78105,0.57477,0.65386,0.40075,1.47158,1.00427,0.00865,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375,0.00958125,0.00319375
57,10416.3,1.77749,1.21443,0.00799,0.78271,0.5749,0.655,0.40187,1.46936,1.00055,0.00863,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
58,11903.8,1.77094,1.21011,0.00798,0.78078,0.57755,0.65634,0.40303,1.46641,0.99823,0.00862,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625,0.00883875,0.00294625
59,13386.3,1.76768,1.20315,0.00794,0.78386,0.57817,0.65785,0.4043,1.46397,0.99447,0.0086,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225,0.0084675,0.0028225
60,14871.4,1.7608,1.19621,0.00794,0.78462,0.57921,0.65919,0.40547,1.46139,0.99094,0.00858,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875,0.00809625,0.00269875
61,16352.1,1.75686,1.19098,0.00788,0.78646,0.58085,0.6611,0.40757,1.45842,0.98684,0.00855,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
62,17834.6,1.75243,1.18388,0.00783,0.78732,0.58288,0.66283,0.40927,1.45567,0.98328,0.00853,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125,0.00735375,0.00245125
63,19318.6,1.74475,1.17635,0.00781,0.7913,0.58444,0.6648,0.41082,1.45239,0.97927,0.00851,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275,0.0069825,0.0023275
64,20804,1.74246,1.1725,0.00778,0.79119,0.58627,0.66644,0.41206,1.44984,0.97682,0.00848,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375,0.00661125,0.00220375
65,22285.5,1.73869,1.16555,0.00774,0.79512,0.58629,0.66834,0.41355,1.44767,0.97271,0.00846,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
66,23769.8,1.7292,1.15832,0.00771,0.79739,0.5876,0.67007,0.41504,1.44497,0.96805,0.00844,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625,0.00586875,0.00195625
67,25254.6,1.72331,1.1498,0.00766,0.7962,0.59046,0.6716,0.4161,1.44157,0.96447,0.00842,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325,0.0054975,0.0018325
68,26737.8,1.71785,1.14296,0.00761,0.79897,0.59042,0.67294,0.41759,1.43899,0.96012,0.0084,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875,0.00512625,0.00170875
69,28220.1,1.71019,1.13291,0.00755,0.80067,0.59205,0.67473,0.41931,1.43563,0.95579,0.00837,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
70,29706.8,1.70235,1.12606,0.00753,0.80199,0.59341,0.6762,0.42085,1.43273,0.95168,0.00834,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125,0.00438375,0.00146125
71,31191,1.69741,1.11837,0.00746,0.80344,0.59425,0.67804,0.42282,1.42806,0.94855,0.00831,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375,0.0040125,0.0013375
72,32675.9,1.68744,1.10788,0.00741,0.80533,0.59537,0.68007,0.42501,1.42469,0.94486,0.00829,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375,0.00364125,0.00121375
73,34157.8,1.68306,1.09911,0.00734,0.80831,0.59627,0.68185,0.42669,1.42096,0.94039,0.00826,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
74,35636.4,1.67033,1.08875,0.0073,0.80851,0.59843,0.68359,0.42883,1.41653,0.93582,0.00822,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625,0.00289875,0.00096625
75,37119.4,1.66216,1.07993,0.00723,0.80887,0.60107,0.68523,0.43067,1.41264,0.93193,0.00819,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425,0.0025275,0.0008425
76,38601.4,1.65293,1.06999,0.00717,0.8121,0.60127,0.68709,0.43239,1.40888,0.9277,0.00817,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875,0.00215625,0.00071875
77,40088.6,1.63955,1.05396,0.00707,0.81484,0.60188,0.68886,0.43433,1.40512,0.92298,0.00814,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
78,41576.1,1.62842,1.04202,0.00701,0.8172,0.60218,0.6904,0.4361,1.40146,0.91831,0.0081,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125,0.00141375,0.00047125
79,43065.6,1.6143,1.02908,0.00693,0.81907,0.6036,0.69212,0.43768,1.39977,0.91337,0.00809,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475,0.0010425,0.0003475
80,44558.5,1.60502,1.01814,0.00685,0.82047,0.60523,0.69393,0.43915,1.39715,0.90867,0.00807,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375,0.00067125,0.00022375
